,rollout/ep_rew_mean,rollout/success rate,time/fps,train/actor_loss,train/critic_loss,train/ent_coef,train/ent_coef_loss,train/learning_rate,eval/mean_ep_length,eval/mean_reward,eval/success_rate,rollout/ep_len_mean
0,-25.34906768798828,0.0,75.0,-5.733938217163086,0.21865062415599823,0.9716992378234863,-0.14492198824882507,9.999999747378752e-05,100.0,-17.451583862304688,0.0,100.0
1,-24.90557861328125,0.0,78.0,-8.094861030578613,0.3970661759376526,0.9387401342391968,-0.3191162943840027,9.999999747378752e-05,100.0,-17.858701705932617,0.0,100.0
2,-23.194795608520508,0.0,65.0,-11.168877601623535,0.7592788934707642,0.8965365886688232,-0.5512381792068481,9.999999747378752e-05,100.0,-14.719253540039062,0.0,100.0
3,-21.970298767089844,0.0,68.0,-13.415176391601562,1.2748234272003174,0.8661465644836426,-0.7248539924621582,9.999999747378752e-05,100.0,-22.57172393798828,0.0,100.0
4,-21.611980438232422,0.0,63.0,-16.096141815185547,1.7443711757659912,0.827237069606781,-0.9559560418128967,9.999999747378752e-05,100.0,-20.24643325805664,0.0,100.0
5,-21.051921844482422,0.0,66.0,-17.941431045532227,2.4321815967559814,0.7992282509803772,-1.1279398202896118,9.999999747378752e-05,100.0,-15.012178421020508,0.0,100.0
6,-21.092607498168945,0.0,65.0,-20.165672302246094,2.950392723083496,0.7633565664291382,-1.3567761182785034,9.999999747378752e-05,100.0,-20.385290145874023,0.0,100.0
7,-20.332077026367188,0.0,65.0,-21.689315795898438,3.586904764175415,0.7375235557556152,-1.5293855667114258,9.999999747378752e-05,100.0,-23.978511810302734,0.0,100.0
8,-20.095279693603516,0.0,65.0,-23.563339233398438,4.386819839477539,0.704435408115387,-1.755527377128601,9.999999747378752e-05,100.0,-26.00935935974121,0.0,100.0
9,-20.32024574279785,0.0,64.0,-24.805952072143555,5.014474868774414,0.6806246638298035,-1.9230316877365112,9.999999747378752e-05,100.0,-28.408355712890625,0.0,100.0
10,-20.239566802978516,0.0,64.0,-26.328689575195312,4.797784805297852,0.6501280069351196,-2.151226282119751,9.999999747378752e-05,100.0,-27.610301971435547,0.0,100.0
11,-20.21776008605957,0.0,65.0,-27.239076614379883,5.460966110229492,0.6281583905220032,-2.3201069831848145,9.999999747378752e-05,100.0,-31.895471572875977,0.0,100.0
12,-20.484411239624023,0.0,64.0,-28.36640739440918,5.9783711433410645,0.6000438928604126,-2.5427443981170654,9.999999747378752e-05,100.0,-30.84760093688965,0.0,100.0
13,-20.34235954284668,0.0,65.0,-29.08186149597168,5.691991806030273,0.5797807574272156,-2.699241876602173,9.999999747378752e-05,100.0,-34.890968322753906,0.0,100.0
14,-20.119909286499023,0.0,64.0,-30.003026962280273,5.68826150894165,0.5539008975028992,-2.91656494140625,9.999999747378752e-05,100.0,-34.5942497253418,0.0,100.0
15,-19.88799476623535,0.0,64.0,-30.497434616088867,6.3961029052734375,0.5352199673652649,-3.0919952392578125,9.999999747378752e-05,100.0,-30.33856201171875,0.0,100.0
16,-19.899202346801758,0.0,64.0,-31.134078979492188,5.690725326538086,0.5112776756286621,-3.306277275085449,9.999999747378752e-05,100.0,-44.57740020751953,0.0,100.0
17,-19.89628791809082,0.0,64.0,-31.46668815612793,6.223002910614014,0.4940251410007477,-3.468122720718384,9.999999747378752e-05,100.0,-45.880340576171875,0.0,100.0
18,-19.94143295288086,0.0,64.0,-31.77508544921875,6.397615909576416,0.4719487130641937,-3.6609394550323486,9.999999747378752e-05,100.0,-37.1262092590332,0.0,100.0
19,-20.071582794189453,0.0,64.0,-32.03678894042969,6.518464088439941,0.4561314880847931,-3.788693904876709,9.999999747378752e-05,100.0,-18.131397247314453,0.0,100.0
20,-20.159832000732422,0.0,64.0,-32.17866897583008,6.251215934753418,0.4358375668525696,-3.993407726287842,9.999999747378752e-05,100.0,-29.257831573486328,0.0,100.0
21,-20.41522979736328,0.0,64.0,-32.29115295410156,6.365029335021973,0.42131784558296204,-4.112019062042236,9.999999747378752e-05,100.0,-28.587377548217773,0.0,100.0
22,-20.758974075317383,0.0,64.0,-32.35923385620117,6.0023674964904785,0.40725284814834595,-4.282754421234131,9.999999747378752e-05,100.0,-29.351953506469727,0.0,100.0
23,-20.922941207885742,0.0,64.0,-32.4063835144043,6.022918224334717,0.38925114274024963,-4.41643762588501,9.999999747378752e-05,100.0,-27.576025009155273,0.0,100.0
24,-21.227441787719727,0.0,64.0,-32.324275970458984,5.677353858947754,0.3763655424118042,-4.5664238929748535,9.999999747378752e-05,100.0,-25.140352249145508,0.0,100.0
