,train/actor_loss,train/critic_loss,train/ent_coef,train/ent_coef_loss,train/learning_rate,eval/mean_ep_length,eval/mean_reward,time/fps
0,-12.921244621276855,0.2804287075996399,0.9324673414230347,-0.5882336497306824,9.999999747378752e-05,200.0,-144.82284545898438,91.0
1,-22.297943115234375,1.304647445678711,0.8607653379440308,-1.261462926864624,9.999999747378752e-05,200.0,-155.59271240234375,72.0
2,-30.40700912475586,0.25681984424591064,0.7946569919586182,-1.9222482442855835,9.999999747378752e-05,200.0,-148.23825073242188,67.0
3,-38.111019134521484,0.4186058044433594,0.7337043285369873,-2.5990331172943115,9.999999747378752e-05,200.0,-142.82882690429688,65.0
4,-43.63844299316406,0.588655948638916,0.6773512363433838,-3.274552822113037,9.999999747378752e-05,200.0,-147.64218139648438,64.0
5,-48.8234748840332,0.25491663813591003,0.6252965331077576,-3.902895927429199,9.999999747378752e-05,200.0,-144.0797119140625,66.0
6,-53.0772705078125,0.42698007822036743,0.5772850513458252,-4.593903541564941,9.999999747378752e-05,200.0,-143.65158081054688,65.0
7,-57.50661849975586,0.2912493050098419,0.5329036712646484,-5.2395734786987305,9.999999747378752e-05,200.0,-140.23663330078125,64.0
8,-60.62480163574219,0.40836361050605774,0.4919508099555969,-5.953086853027344,9.999999747378752e-05,200.0,-137.49313354492188,64.0
9,-59.85297775268555,0.28882908821105957,0.4541383683681488,-6.595716953277588,9.999999747378752e-05,200.0,-137.7976531982422,63.0
10,-62.64229202270508,0.2173437625169754,0.4192563593387604,-7.234464168548584,9.999999747378752e-05,200.0,-133.79000854492188,64.0
11,-66.26626586914062,0.17964807152748108,0.3870663642883301,-7.943996429443359,9.999999747378752e-05,200.0,-132.06690979003906,64.0
12,-63.36589813232422,0.15622445940971375,0.35735636949539185,-8.584185600280762,9.999999747378752e-05,200.0,-132.43812561035156,63.0
13,-62.027137756347656,0.175779789686203,0.32993873953819275,-9.184000015258789,9.999999747378752e-05,200.0,-131.9508819580078,63.0
14,-62.61396026611328,0.14712470769882202,0.3046146631240845,-9.751636505126953,9.999999747378752e-05,200.0,-129.69619750976562,63.0
15,-61.70346450805664,0.14167572557926178,0.28122958540916443,-10.532118797302246,9.999999747378752e-05,200.0,-131.478515625,64.0
16,-59.09820556640625,0.11065299063920975,0.2596416771411896,-11.094704627990723,9.999999747378752e-05,200.0,-130.5782012939453,63.0
17,-57.567928314208984,0.11786457896232605,0.2397225797176361,-11.615845680236816,9.999999747378752e-05,200.0,-136.7573699951172,63.0
18,-58.30957794189453,0.08300686627626419,0.2213417887687683,-12.463276863098145,9.999999747378752e-05,200.0,-125.13179016113281,63.0
19,-54.94839096069336,0.08770377933979034,0.20437592267990112,-13.081817626953125,9.999999747378752e-05,200.0,-136.50454711914062,63.0
20,-53.09436798095703,0.08084140717983246,0.18871629238128662,-13.648012161254883,9.999999747378752e-05,200.0,-144.9614715576172,63.0
21,-53.58109664916992,0.05850440263748169,0.17425914108753204,-14.301132202148438,9.999999747378752e-05,200.0,-141.17982482910156,63.0
