,rollout/ep_rew_mean,time/fps,train/actor_loss,train/critic_loss,train/ent_coef,train/ent_coef_loss,train/learning_rate,eval/mean_ep_length,eval/mean_reward,rollout/ep_len_mean
0,-179.84104919433594,58.0,-12.553483963012695,0.6603977084159851,0.9324406385421753,-0.5881921052932739,9.999999747378752e-05,200.0,-185.7337188720703,200.0
1,-173.5389404296875,51.0,-19.5034122467041,0.849101185798645,0.8607172966003418,-1.264225959777832,9.999999747378752e-05,200.0,-188.72183227539062,200.0
2,-178.50765991210938,49.0,-24.34596061706543,0.6469067335128784,0.7945834398269653,-1.9213933944702148,9.999999747378752e-05,200.0,-188.38304138183594,200.0
3,-182.27159118652344,48.0,-27.7598819732666,0.6975100040435791,0.7335813641548157,-2.600980281829834,9.999999747378752e-05,200.0,-199.51206970214844,200.0
4,-183.74119567871094,47.0,-30.278268814086914,1.2349960803985596,0.6773425936698914,-3.2651946544647217,9.999999747378752e-05,200.0,-198.16429138183594,200.0
5,-185.54183959960938,47.0,-32.39288330078125,0.7782337665557861,0.6255007982254028,-3.874730110168457,9.999999747378752e-05,200.0,-196.22195434570312,200.0
6,-186.54010009765625,47.0,-32.69942092895508,1.3422281742095947,0.5776370167732239,-4.554440021514893,9.999999747378752e-05,200.0,-198.9373321533203,200.0
7,-187.84596252441406,47.0,-33.218849182128906,0.7431185841560364,0.5334492921829224,-5.197335720062256,9.999999747378752e-05,200.0,-188.32867431640625,200.0
8,-187.98265075683594,46.0,-32.40150451660156,0.8260253667831421,0.4926193952560425,-5.807798862457275,9.999999747378752e-05,200.0,-189.3201141357422,200.0
9,-187.70089721679688,46.0,-32.79631805419922,0.9827679395675659,0.45492881536483765,-6.4226274490356445,9.999999747378752e-05,200.0,-186.3955841064453,200.0
10,-188.3570556640625,47.0,-33.39552688598633,0.66150963306427,0.42012667655944824,-7.057429790496826,9.999999747378752e-05,200.0,-178.40127563476562,200.0
11,-189.06004333496094,46.0,-30.917158126831055,5.2191643714904785,0.3879852890968323,-7.64639139175415,9.999999747378752e-05,200.0,-184.87904357910156,200.0
12,-188.6053009033203,46.0,-29.914325714111328,0.9500243067741394,0.35831642150878906,-8.36031723022461,9.999999747378752e-05,200.0,-187.59141540527344,200.0
13,-188.87283325195312,46.0,-29.794784545898438,0.7400604486465454,0.33094432950019836,-8.878558158874512,9.999999747378752e-05,200.0,-208.1426239013672,200.0
14,-188.34735107421875,46.0,-26.664384841918945,5.399344444274902,0.3057229220867157,-9.45500373840332,9.999999747378752e-05,200.0,-185.89175415039062,200.0
15,-188.45468139648438,46.0,-26.487987518310547,0.9303334951400757,0.2824711501598358,-9.965285301208496,9.999999747378752e-05,200.0,-192.35580444335938,200.0
16,-188.99110412597656,46.0,-23.293685913085938,2.7962024211883545,0.2610374093055725,-10.488798141479492,9.999999747378752e-05,200.0,-179.66860961914062,200.0
17,-189.71263122558594,46.0,-19.77703857421875,0.778914749622345,0.24124129116535187,-10.744224548339844,9.999999747378752e-05,200.0,-168.99246215820312,200.0
18,-190.0170440673828,46.0,-16.95808982849121,3.6978719234466553,0.22292566299438477,-11.278979301452637,9.999999747378752e-05,200.0,-176.01095581054688,200.0
19,-190.06646728515625,46.0,-14.968785285949707,0.5246491432189941,0.20597653090953827,-11.824694633483887,9.999999747378752e-05,200.0,-171.45626831054688,200.0
20,-189.81398010253906,46.0,-12.055438995361328,0.5243347883224487,0.1902986466884613,-12.16927719116211,9.999999747378752e-05,200.0,-166.80819702148438,200.0
21,-189.0441131591797,46.0,-10.871630668640137,0.45659172534942627,0.17579741775989532,-13.170859336853027,9.999999747378752e-05,200.0,-164.75277709960938,200.0
22,-188.28262329101562,46.0,-8.330766677856445,1.6875247955322266,0.1624106466770172,-13.095237731933594,9.999999747378752e-05,200.0,-153.48634338378906,200.0
23,-187.42527770996094,46.0,-4.400796890258789,0.8003318309783936,0.15003694593906403,-13.589212417602539,9.999999747378752e-05,200.0,-153.54112243652344,200.0
24,-186.81329345703125,46.0,-3.275973320007324,1.2742559909820557,0.1386834979057312,-14.079338073730469,9.999999747378752e-05,200.0,-149.49798583984375,200.0
