,eval/mean_reward,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,train/actor_loss,train/critic_loss,train/ent_coef,train/ent_coef_loss,train/learning_rate,eval/mean_ep_length
0,181.659423828125,500.0,140.6549530029297,82.0,-27.58668327331543,3.0183491706848145,0.8271110653877258,-1.2809616327285767,9.999999747378752e-05,500.0
1,178.7818145751953,500.0,139.24183654785156,82.0,-45.58262634277344,0.05725366622209549,0.6772010922431946,-2.6259191036224365,9.999999747378752e-05,500.0
2,170.1539764404297,500.0,139.3437042236328,81.0,-57.997596740722656,0.0690937489271164,0.5544704794883728,-3.9522228240966797,9.999999747378752e-05,500.0
3,189.61526489257812,500.0,128.2412872314453,81.0,-66.1776351928711,21.177515029907227,0.4539734125137329,-5.3293023109436035,9.999999747378752e-05,500.0
4,213.06881713867188,500.0,148.51051330566406,81.0,-71.56591796875,0.04782874882221222,0.37171342968940735,-6.617607116699219,9.999999747378752e-05,500.0
5,140.0536651611328,500.0,147.45289611816406,81.0,-74.63488006591797,0.04515734314918518,0.3044585585594177,-7.960177898406982,9.999999747378752e-05,500.0
6,106.51541900634766,500.0,143.80287170410156,81.0,-75.66963958740234,29.058563232421875,0.24934709072113037,-9.190662384033203,9.999999747378752e-05,500.0
7,135.25511169433594,500.0,141.28790283203125,81.0,-75.48239135742188,25.888446807861328,0.20423614978790283,-10.52086067199707,9.999999747378752e-05,500.0
8,89.16633605957031,500.0,140.5056610107422,81.0,-74.40619659423828,0.0583353117108345,0.16733431816101074,-11.729754447937012,9.999999747378752e-05,500.0
9,70.62040710449219,500.0,139.8223876953125,81.0,-72.58771514892578,0.06106683611869812,0.13702847063541412,-12.938555717468262,9.999999747378752e-05,500.0
10,87.55117797851562,500.0,135.17105102539062,81.0,-70.28871154785156,0.13672487437725067,0.11227290332317352,-14.371356010437012,9.999999747378752e-05,500.0
11,97.12322998046875,500.0,137.54937744140625,81.0,-67.56597137451172,0.05515946075320244,0.09202247858047485,-15.47713851928711,9.999999747378752e-05,500.0
12,113.62723541259766,500.0,143.81268310546875,81.0,-65.30309295654297,0.26392263174057007,0.07550939172506332,-16.626384735107422,9.999999747378752e-05,500.0
