,rollout/ep_rew_mean,time/fps,train/actor_loss,train/critic_loss,train/learning_rate,eval/mean_ep_length,eval/mean_reward,rollout/ep_len_mean
0,-314.6330261230469,208.0,1.9880809783935547,0.1068020686507225,9.999999747378752e-05,200.0,-474.52410888671875,200.0
1,-416.5430908203125,138.0,7.5640363693237305,0.5167938470840454,9.999999747378752e-05,200.0,-536.4910888671875,200.0
2,-453.0687561035156,132.0,10.955009460449219,0.9091323614120483,9.999999747378752e-05,200.0,-625.4705810546875,200.0
3,-454.30596923828125,133.0,19.01696014404297,2.264918088912964,9.999999747378752e-05,200.0,-470.3216247558594,200.0
4,-446.838134765625,130.0,25.15126609802246,2.9478659629821777,9.999999747378752e-05,200.0,-380.7138366699219,200.0
5,-452.7442321777344,129.0,27.718130111694336,2.8850181102752686,9.999999747378752e-05,200.0,-482.2577209472656,200.0
6,-452.0643005371094,132.0,32.80708694458008,3.825120687484741,9.999999747378752e-05,200.0,-504.53326416015625,200.0
7,-450.2980651855469,130.0,39.56576156616211,4.996291637420654,9.999999747378752e-05,200.0,-460.0596618652344,200.0
8,-454.1622009277344,132.0,46.01443099975586,6.519503593444824,9.999999747378752e-05,200.0,-543.9609375,200.0
9,-457.0122375488281,132.0,49.10600280761719,8.222949028015137,9.999999747378752e-05,200.0,-433.6647033691406,200.0
10,-457.88604736328125,132.0,52.45016098022461,8.204906463623047,9.999999747378752e-05,200.0,-492.71954345703125,200.0
11,-457.6201477050781,131.0,59.412837982177734,12.703810691833496,9.999999747378752e-05,200.0,-440.3375549316406,200.0
12,-459.02960205078125,132.0,66.3576431274414,15.578179359436035,9.999999747378752e-05,200.0,-522.6432495117188,200.0
13,-454.5529479980469,131.0,69.87810516357422,17.347936630249023,9.999999747378752e-05,200.0,-561.0670166015625,200.0
14,-450.20281982421875,131.0,73.1903305053711,19.797700881958008,9.999999747378752e-05,200.0,-482.72491455078125,200.0
15,-446.72271728515625,130.0,76.31942749023438,21.7935848236084,9.999999747378752e-05,200.0,-561.3873291015625,200.0
16,-452.5818176269531,132.0,81.65315246582031,29.054607391357422,9.999999747378752e-05,200.0,-486.92327880859375,200.0
17,-447.0760803222656,131.0,84.60792541503906,25.705890655517578,9.999999747378752e-05,200.0,-398.9931335449219,200.0
18,-441.5833740234375,131.0,88.31255340576172,23.089405059814453,9.999999747378752e-05,200.0,-319.4727478027344,200.0
19,-440.7165222167969,131.0,91.00462341308594,28.84174346923828,9.999999747378752e-05,200.0,-471.73101806640625,200.0
20,-440.8963928222656,132.0,94.06427764892578,29.99085807800293,9.999999747378752e-05,200.0,-405.6370544433594,200.0
21,-442.0369873046875,131.0,100.68724060058594,37.140769958496094,9.999999747378752e-05,200.0,-445.0576171875,200.0
22,-440.9018859863281,131.0,110.36492919921875,43.732276916503906,9.999999747378752e-05,200.0,-450.6912536621094,200.0
23,-442.34442138671875,131.0,113.52473449707031,44.075565338134766,9.999999747378752e-05,200.0,-428.0048828125,200.0
24,-441.73773193359375,131.0,116.27536010742188,46.632450103759766,9.999999747378752e-05,200.0,-412.0370178222656,200.0
25,-439.4347839355469,131.0,118.985595703125,45.13252639770508,9.999999747378752e-05,200.0,-414.92578125,200.0
26,-436.0188293457031,131.0,121.69004821777344,59.646080017089844,9.999999747378752e-05,200.0,-506.57037353515625,200.0
27,-433.3084716796875,131.0,123.84707641601562,53.06149673461914,9.999999747378752e-05,200.0,-515.6646728515625,200.0
28,-428.5558776855469,131.0,129.2744598388672,57.900909423828125,9.999999747378752e-05,200.0,-496.5953674316406,200.0
29,-430.528564453125,131.0,131.95372009277344,70.16907501220703,9.999999747378752e-05,200.0,-468.1377868652344,200.0
30,-434.2568054199219,131.0,133.9473876953125,67.59921264648438,9.999999747378752e-05,200.0,-393.7677917480469,200.0
31,-432.9429626464844,132.0,137.29832458496094,58.67707443237305,9.999999747378752e-05,200.0,-411.8678283691406,200.0
32,-432.00604248046875,132.0,139.6392059326172,62.68986511230469,9.999999747378752e-05,200.0,-472.614501953125,200.0
33,-434.54541015625,132.0,141.54066467285156,68.9146499633789,9.999999747378752e-05,200.0,-470.33538818359375,200.0
34,-434.3735656738281,132.0,143.88143920898438,74.48033142089844,9.999999747378752e-05,200.0,-583.5336303710938,200.0
35,-428.503173828125,132.0,145.64395141601562,70.18924713134766,9.999999747378752e-05,200.0,-553.0724487304688,200.0
36,-425.0569152832031,133.0,147.6395721435547,76.67182159423828,9.999999747378752e-05,200.0,-460.8876037597656,200.0
37,-424.5304870605469,133.0,149.0382080078125,84.80304718017578,9.999999747378752e-05,200.0,-401.4197692871094,200.0
38,-422.5604248046875,133.0,151.07095336914062,79.18712615966797,9.999999747378752e-05,200.0,-406.91552734375,200.0
39,-418.4651794433594,133.0,152.7025604248047,77.75009155273438,9.999999747378752e-05,200.0,-313.791748046875,200.0
40,-414.41650390625,134.0,154.4015350341797,75.9882583618164,9.999999747378752e-05,200.0,-348.991455078125,200.0
41,-411.5569763183594,134.0,155.78607177734375,79.20001983642578,9.999999747378752e-05,200.0,-399.91168212890625,200.0
42,-393.1280822753906,135.0,162.45802307128906,76.16307830810547,9.999999747378752e-05,200.0,-449.2286071777344,200.0
43,-387.0766906738281,135.0,164.26751708984375,101.01182556152344,9.999999747378752e-05,200.0,-362.48199462890625,200.0
44,-381.1094665527344,135.0,165.91970825195312,89.87883758544922,9.999999747378752e-05,200.0,-479.96209716796875,200.0
45,-377.973388671875,135.0,166.32835388183594,96.26087951660156,9.999999747378752e-05,200.0,-370.39276123046875,200.0
46,-372.3456726074219,135.0,168.44805908203125,87.1825180053711,9.999999747378752e-05,200.0,-382.87152099609375,200.0
47,-366.3629150390625,135.0,169.12777709960938,92.30101776123047,9.999999747378752e-05,200.0,-343.76031494140625,200.0
48,-357.7369689941406,135.0,170.0079803466797,87.54241180419922,9.999999747378752e-05,200.0,-344.6376953125,200.0
49,-353.8058776855469,134.0,171.06549072265625,88.52983856201172,9.999999747378752e-05,200.0,-264.33746337890625,200.0
50,-344.5911865234375,134.0,172.9004364013672,93.7494888305664,9.999999747378752e-05,200.0,-394.4736022949219,200.0
51,-330.85040283203125,134.0,173.7657928466797,93.04843139648438,9.999999747378752e-05,200.0,-263.26470947265625,200.0
52,-310.2564392089844,134.0,174.7144775390625,106.24625396728516,9.999999747378752e-05,200.0,-284.9997863769531,200.0
53,-301.3303527832031,133.0,175.421630859375,94.5545654296875,9.999999747378752e-05,200.0,-317.402099609375,200.0
54,-291.27679443359375,133.0,176.0422821044922,94.2076187133789,9.999999747378752e-05,200.0,-272.0502624511719,200.0
55,-286.4196472167969,133.0,176.04136657714844,91.72418975830078,9.999999747378752e-05,200.0,-191.08065795898438,200.0
56,-282.80462646484375,133.0,175.82717895507812,107.94918060302734,9.999999747378752e-05,200.0,-180.41000366210938,200.0
57,-277.5543212890625,133.0,175.70982360839844,110.09587097167969,9.999999747378752e-05,200.0,-199.92030334472656,200.0
58,-273.2881164550781,133.0,175.48452758789062,99.02103424072266,9.999999747378752e-05,200.0,-212.08251953125,200.0
59,-270.9589538574219,133.0,175.51187133789062,102.40498352050781,9.999999747378752e-05,200.0,-251.2528839111328,200.0
